2025-12-06 23:16:18 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:16:18 | werkzeug   | INFO     |_internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:13579
 * Running on http://192.168.1.110:13579
2025-12-06 23:16:18 | werkzeug   | INFO     |_internal.py:97 | [33mPress CTRL+C to quit[0m
2025-12-06 23:16:18 | werkzeug   | INFO     |_internal.py:97 |  * Restarting with stat
2025-12-06 23:16:18 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:16:18 | werkzeug   | WARNING  |_internal.py:97 |  * Debugger is active!
2025-12-06 23:16:18 | werkzeug   | INFO     |_internal.py:97 |  * Debugger PIN: 124-328-083
2025-12-06 23:16:21 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:16:21] "GET / HTTP/1.1" 200 -
2025-12-06 23:16:21 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:16:21] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:16:22 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:16:22] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-12-06 23:16:40 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:16:40] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:16:40 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:16:40 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:16:40] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:17:29 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:17:29] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:17:29 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:17:29 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:17:29] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:17:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:17:56] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:17:56 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:17:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:17:56] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:18:10 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:18:10] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:18:10 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:18:10 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:18:10] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:33 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:33] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:33 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:20:33 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:33] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:35 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:20:35] "[36mGET / HTTP/1.1[0m" 304 -
2025-12-06 23:20:35 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:20:35] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:20:36 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:20:36 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:36] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:38 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:38] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:38 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:20:38 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:38] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:20:42 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:20:42 | werkzeug   | INFO     |_internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:13579
 * Running on http://192.168.1.110:13579
2025-12-06 23:20:42 | werkzeug   | INFO     |_internal.py:97 | [33mPress CTRL+C to quit[0m
2025-12-06 23:20:42 | werkzeug   | INFO     |_internal.py:97 |  * Restarting with stat
2025-12-06 23:20:42 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:20:42 | werkzeug   | WARNING  |_internal.py:97 |  * Debugger is active!
2025-12-06 23:20:42 | werkzeug   | INFO     |_internal.py:97 |  * Debugger PIN: 124-328-083
2025-12-06 23:20:45 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:20:45] "[36mGET / HTTP/1.1[0m" 304 -
2025-12-06 23:20:45 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:20:45] "[36mGET /js/main_temp.js HTTP/1.1[0m" 304 -
2025-12-06 23:20:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:20:46] "OPTIONS /api/input-text HTTP/1.1" 200 -
